subjects,particle_size,flowrate,parameter,deposition
PD07,9,45,3645,0.432791631
PD03,9,18,1458,0.24321162
PD03,9,45,3645,0.8097335551
PD02,9,18,1458,0.850798289
PD02,9,45,3645,1
PD08,9,18,1458,0.9278361461
PD08,9,45,3645,0.99969263
PD20,9,18,1458,0.98800428
PD20,9,45,3645,1.000000035
PD21,9,18,1458,0.460454724
PD21,9,45,3645,0.9849864911
PD09,9,18,1458,0.946325857
PD09,9,45,3645,1.0000000146
PD19,9,18,1458,0.193661599
PD19,9,45,3645,0.7236637705
PD10,9,18,1458,0.42051994
PD10,9,45,3645,0.73591334
PD13,9,18,1458,0.180878
PD13,9,45,3645,0.729685218
PD01,10,18,1800,0.20714138
PD01,10,45,4500,0.76782616
PD07,10,18,1800,0.146093594
PD07,10,45,4500,0.560773412
PD03,10,18,1800,0.31221085
PD03,10,45,4500,0.9109603156
PD02,10,18,1800,0.926001049
PD02,10,45,4500,1
PD08,10,18,1800,0.9504562028
PD08,10,45,4500,0.99856094
PD20,10,18,1800,0.993787509
PD20,10,45,4500,0.999999915
PD21,10,18,1800,0.652314614
PD21,10,45,4500,0.9960527645
PD09,10,18,1800,0.968199394
PD09,10,45,4500,1.0000000205
PD19,10,18,1800,0.277390316
PD19,10,45,4500,0.8358549808
PD10,10,18,1800,0.45214196
PD10,10,45,4500,0.96008713
PD13,10,18,1800,0.32440478
PD13,10,45,4500,0.854421852
PD01,11,18,2178,0.32812182
PD01,11,45,5445,0.89612246
PD07,11,18,2178,0.197070146
PD07,11,45,5445,0.67990988
PD03,11,18,2178,0.39460752
PD03,11,45,5445,0.9516178281
PD02,11,18,2178,0.9724078449
PD02,11,45,5445,1.00000003
PD08,11,18,2178,0.9690312725
PD08,11,45,5445,1.000000018
PD20,11,18,2178,0.9979419649
PD20,11,45,5445,0.9999999965
PD21,11,18,2178,0.8004364504
PD21,11,45,5445,0.999580876
PD09,11,18,2178,0.986129152
PD09,11,45,5445,1
PD19,11,18,2178,0.381509158
PD19,11,45,5445,0.9161813
PD10,11,18,2178,0.48668993
PD10,11,45,5445,0.96256245
