subject,flow,ps,imp,dep,imp_cm3,dep_predict,dep_bestfit
PD01,18LPM,1,18,0.002562526,300,0.000568757,0.000842043
PD01,45LPM,1,45,0.005970763,750,0.002694637,0.004156181
PD07,18LPM,1,18,0.003567788,300,0.000568757,0.000842043
PD07,45LPM,1,45,0.007390679,750,0.002694637,0.004156181
PD03,18LPM,1,18,0.007238989,300,0.000568757,0.000842043
PD03,45LPM,1,45,0.015318627,750,0.002694637,0.004156181
PD02,18LPM,1,18,0.013820639,300,0.000568757,0.000842043
PD02,45LPM,1,45,0.023981808,750,0.002694637,0.004156181
PD08,18LPM,1,18,0.020610055,300,0.000568757,0.000842043
PD08,45LPM,1,45,0.043384176,750,0.002694637,0.004156181
PD20,18LPM,1,18,0.02230674,300,0.000568757,0.000842043
PD20,45LPM,1,45,0.047107434,750,0.002694637,0.004156181
PD21,18LPM,1,18,0.013397422,300,0.000568757,0.000842043
PD21,45LPM,1,45,0.0260583,750,0.002694637,0.004156181
PD09,18LPM,1,18,0.014887064,300,0.000568757,0.000842043
PD09,45LPM,1,45,0.032522011,750,0.002694637,0.004156181
PD19,18LPM,1,18,0.010452962,300,0.000568757,0.000842043
PD19,45LPM,1,45,0.019545318,750,0.002694637,0.004156181
PD10,18LPM,1,18,0.01217765,300,0.000568757,0.000842043
PD10,45LPM,1,45,0.026815984,750,0.002694637,0.004156181
PD13,18LPM,1,18,0.006861239,300,0.000568757,0.000842043
PD13,45LPM,1,45,0.014497224,750,0.002694637,0.004156181
PD01,18LPM,2,72,0.003990995,1200,0.005971385,0.009392866
PD01,45LPM,2,180,0.008092604,3000,0.027730695,0.044850896
PD07,18LPM,2,72,0.00356706,1200,0.005971385,0.009392866
PD07,45LPM,2,180,0.009797917,3000,0.027730695,0.044850896
PD03,18LPM,2,72,0.00945218,1200,0.005971385,0.009392866
PD03,45LPM,2,180,0.021783388,3000,0.027730695,0.044850896
PD02,18LPM,2,72,0.014269698,1200,0.005971385,0.009392866
